Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
COSTA DEL SOL,"3,120,000","2,195.86","1,421",May-24,BAYSHORE ROAD,Resale,Strata,204,"15,294",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,01 to 05
COSTA DEL SOL,"3,200,000","1,560.78","2,050",Apr-24,BAYSHORE ROAD,Resale,Strata,145,"22,069",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,26 to 30
COSTA DEL SOL,"2,350,000","1,345.5","1,747",Apr-24,BAYSHORE ROAD,Resale,Strata,125,"18,800",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,16 to 20
COSTA DEL SOL,"2,180,000","1,313.21","1,660",Apr-24,BAYSHORE ROAD,Resale,Strata,122,"17,869",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,06 to 10
COSTA DEL SOL,"2,050,000","1,227.1","1,671",Mar-24,BAYSHORE ROAD,Resale,Strata,114,"17,982",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,06 to 10
COSTA DEL SOL,"2,290,000","1,345.5","1,702",Mar-24,BAYSHORE ROAD,Resale,Strata,125,"18,320",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,11 to 15
COSTA DEL SOL,"2,250,000","1,227.1","1,834",Mar-24,BAYSHORE ROAD,Resale,Strata,114,"19,737",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,21 to 25
COSTA DEL SOL,"2,300,000","1,313.21","1,751",Mar-24,BAYSHORE ROAD,Resale,Strata,122,"18,852",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,16 to 20
COSTA DEL SOL,"2,400,000","1,560.78","1,538",Feb-24,BAYSHORE ROAD,Resale,Strata,145,"16,552",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,01 to 05
COSTA DEL SOL,"2,100,000","1,323.97","1,586",Jan-24,BAYSHORE ROAD,Resale,Strata,123,"17,073",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,11 to 15
COSTA DEL SOL,"3,000,000","1,754.53","1,710",Jan-24,BAYSHORE ROAD,Resale,Strata,163,"18,405",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,06 to 10
COSTA DEL SOL,"2,180,000","1,313.21","1,660",Jan-24,BAYSHORE ROAD,Resale,Strata,122,"17,869",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,06 to 10
COSTA DEL SOL,"2,195,000","1,237.86","1,773",Jan-24,BAYSHORE ROAD,Resale,Strata,115,"19,087",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,11 to 15
COSTA DEL SOL,"2,350,000","1,474.67","1,594",Dec-23,BAYSHORE ROAD,Resale,Strata,137,"17,153",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,26 to 30
COSTA DEL SOL,"2,230,000","1,313.21","1,698",Dec-23,BAYSHORE ROAD,Resale,Strata,122,"18,279",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,11 to 15
COSTA DEL SOL,"2,300,000","1,560.78","1,474",Nov-23,BAYSHORE ROAD,Resale,Strata,145,"15,862",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,01 to 05
COSTA DEL SOL,"2,370,000","1,345.5","1,761",Nov-23,BAYSHORE ROAD,Resale,Strata,125,"18,960",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,21 to 25
COSTA DEL SOL,"2,260,000","1,345.5","1,680",Oct-23,BAYSHORE ROAD,Resale,Strata,125,"18,080",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,16 to 20
